Category,Frequency,Item
NOUN,HIFREQ,ordres
NOUN,HIFREQ,reste
NOUN,HIFREQ,couteau
NOUN,HIFREQ,poisson
NOUN,HIFREQ,courant
NOUN,HIFREQ,boulot
NOUN,HIFREQ,position
NOUN,HIFREQ,reine
NOUN,HIFREQ,choix
NOUN,HIFREQ,verre
NOUN,HIFREQ,salut
NOUN,HIFREQ,visage
NOUN,HIFREQ,message
NOUN,HIFREQ,patron
NOUN,HIFREQ,danger
NOUN,HIFREQ,plaisir
NOUN,HIFREQ,victime
NOUN,HIFREQ,balle
NOUN,HIFREQ,famille
NOUN,HIFREQ,gauche
NOUN,LOFREQ,prostate
NOUN,LOFREQ,plongée
NOUN,LOFREQ,pétasse
NOUN,LOFREQ,cordes
NOUN,LOFREQ,extrême
NOUN,LOFREQ,conduit
NOUN,LOFREQ,normes
NOUN,LOFREQ,iceberg
NOUN,LOFREQ,doyen
NOUN,LOFREQ,sûreté
NOUN,LOFREQ,voyante
NOUN,LOFREQ,rempart
NOUN,LOFREQ,porche
NOUN,LOFREQ,radios
NOUN,LOFREQ,glamour
NOUN,LOFREQ,liqueur
NOUN,LOFREQ,douille
NOUN,LOFREQ,allusion
NOUN,LOFREQ,florin
NOUN,LOFREQ,fontaine
VERB,HIFREQ,entendre
VERB,HIFREQ,savais
VERB,HIFREQ,entends
VERB,HIFREQ,rentrer
VERB,HIFREQ,envoie
VERB,HIFREQ,écouter
VERB,HIFREQ,laisser
VERB,HIFREQ,compris
VERB,HIFREQ,pourrais
VERB,HIFREQ,foutre
VERB,HIFREQ,voyez
VERB,HIFREQ,excusez
VERB,HIFREQ,envoyer
VERB,HIFREQ,entre
VERB,HIFREQ,retourne
VERB,HIFREQ,bouge
VERB,HIFREQ,ferait
VERB,HIFREQ,laissez
VERB,HIFREQ,montre
VERB,HIFREQ,entrer
VERB,LOFREQ,allez
VERB,LOFREQ,essaye
VERB,LOFREQ,peuvent
VERB,LOFREQ,pleurer
VERB,LOFREQ,pensé
VERB,LOFREQ,détruire
VERB,LOFREQ,assis
VERB,LOFREQ,chercher
VERB,LOFREQ,tirer
VERB,LOFREQ,passer
VERB,LOFREQ,entendre
VERB,LOFREQ,laissez
VERB,LOFREQ,venue
VERB,LOFREQ,voulez
VERB,LOFREQ,protéger
VERB,LOFREQ,pouvoir
VERB,LOFREQ,rends
VERB,LOFREQ,dépêche
VERB,LOFREQ,acheter
VERB,LOFREQ,prévu
PSEUDO,NA,povaci
PSEUDO,NA,paprénes
PSEUDO,NA,ronévait
PSEUDO,NA,tuinte
PSEUDO,NA,pâtétait
PSEUDO,NA,chétinct
PSEUDO,NA,vomes
PSEUDO,NA,sanci
PSEUDO,NA,mêfors
PSEUDO,NA,géotin
PSEUDO,NA,apragea
PSEUDO,NA,aprotise
PSEUDO,NA,chlorse
PSEUDO,NA,étalse
PSEUDO,NA,paprens
PSEUDO,NA,mêchele
PSEUDO,NA,sprouble
PSEUDO,NA,refaine
PSEUDO,NA,ébirial
PSEUDO,NA,sipanaux
PSEUDO,NA,rhutiste
PSEUDO,NA,momoses
PSEUDO,NA,perrirue
PSEUDO,NA,chlourbe
PSEUDO,NA,placi
PSEUDO,NA,spuis
PSEUDO,NA,sprout
PSEUDO,NA,virute
PSEUDO,NA,fetourse
PSEUDO,NA,chodoite
PSEUDO,NA,extivail
PSEUDO,NA,pruigne
PSEUDO,NA,sentelse
PSEUDO,NA,mégarson
PSEUDO,NA,aprents
PSEUDO,NA,mennure
PSEUDO,NA,aprata
PSEUDO,NA,stict
PSEUDO,NA,diperve
PSEUDO,NA,fêmore
PSEUDO,NA,valfamir
PSEUDO,NA,maburont
PSEUDO,NA,fetreme
PSEUDO,NA,birélait
PSEUDO,NA,momours
PSEUDO,NA,aticle
PSEUDO,NA,ciber
PSEUDO,NA,pusque
PSEUDO,NA,perimeil
PSEUDO,NA,barmeil
PSEUDO,NA,vefants
PSEUDO,NA,boufide
PSEUDO,NA,blube
PSEUDO,NA,paprime
PSEUDO,NA,protemci
PSEUDO,NA,fadament
PSEUDO,NA,sprenche
PSEUDO,NA,marect
PSEUDO,NA,havénant
PSEUDO,NA,sauvoude
PSEUDO,NA,phralve
PSEUDO,NA,verre
PSEUDO,NA,moutes
PSEUDO,NA,brontai
PSEUDO,NA,incoutie
PSEUDO,NA,prépatie
PSEUDO,NA,troseres
PSEUDO,NA,chanche
PSEUDO,NA,crouche
PSEUDO,NA,plarche
PSEUDO,NA,linal
PSEUDO,NA,atrime
PSEUDO,NA,pronstre
PSEUDO,NA,nante
PSEUDO,NA,détate
PSEUDO,NA,nalait
PSEUDO,NA,brimatre
PSEUDO,NA,arres
PSEUDO,NA,tentite
PSEUDO,NA,richant
