"","sub","cond","y"
"1","s1","1",10.5171376863362
"2","s1","2",12.0105284710859
"3","s2","1",9.03565098610737
"4","s2","2",10.4303027379021
"5","s3","1",8.90447727272821
"6","s3","2",9.39741175604024
"7","s4","1",6.7260891689209
"8","s4","2",12.8495049710905
"9","s5","1",9.60809058184065
"10","s5","2",10.9690242026233
"11","s6","1",8.6029908810565
"12","s6","2",10.3585988192496
"13","s7","1",10.205071376195
"14","s7","2",13.3620095132162
"15","s8","1",10.651038023638
"16","s8","2",11.1682429588493
"17","s9","1",7.29715373152316
"18","s9","2",6.90055991048771
"19","s10","1",10.9369201793933
"20","s10","2",9.92656835995889
"21","s11","1",12.2381662608454
"22","s11","2",10.8255403473879
"23","s12","1",8.34952718476787
"24","s12","2",13.052991234606
"25","s13","1",11.0352889213601
"26","s13","2",12.6672484748564
"27","s14","1",9.69970635577172
"28","s14","2",11.5431066118449
"29","s15","1",6.97943647447918
"30","s15","2",8.69247218598251
"31","s16","1",8.8934388601773
"32","s16","2",12.4056926292638
"33","s17","1",11.7025583416207
"34","s17","2",10.4871535778203
"35","s18","1",9.53809024197647
"36","s18","2",8.99704207226643
"37","s19","1",11.4767907014789
"38","s19","2",12.0275985406075
"39","s20","1",11.4051868114269
"40","s20","2",12.6342888093888
