"","group","y"
"1","Gr1",2.97245306888549
"2","Gr1",5.60434321528888
"3","Gr1",3.81184476763124
"4","Gr1",4.39304337484834
"5","Gr1",4.0747800126345
"6","Gr1",5.04861986054945
"7","Gr1",2.79307508602692
"8","Gr1",4.29690052276146
"9","Gr1",4.19040290547264
"10","Gr1",5.7573048613418
"11","Gr1",1.97585650069175
"12","Gr1",3.6000410884024
"13","Gr1",4.75826552864389
"14","Gr1",4.51657671279269
"15","Gr1",5.16886061116871
"16","Gr1",2.11655238453228
"17","Gr1",4.16800260247101
"18","Gr1",5.19118191134222
"19","Gr1",4.59537745114504
"20","Gr1",5.92408194187692
"21","Gr1",2.93800378551098
"22","Gr1",4.01693649574653
"23","Gr1",3.17989736350835
"24","Gr1",4.66021207200543
"25","Gr1",4.58543030868846
"26","Gr1",4.70185104791157
"27","Gr1",5.35990327219544
"28","Gr1",1.51035111651878
"29","Gr1",2.59887592489026
"30","Gr1",4.22735253645828
"31","Gr1",4.18634354207091
"32","Gr1",3.4048941108749
"33","Gr1",4.46310831124792
"34","Gr1",4.49599733991239
"35","Gr1",4.13002813414017
"36","Gr1",3.49853341094878
"37","Gr1",5.57833760982177
"38","Gr1",4.45325715857386
"39","Gr1",3.90081677443934
"40","Gr1",2.92157632518311
"41","Gr1",5.62374759491421
"42","Gr1",2.27870636275866
"43","Gr1",4.73576923430332
"44","Gr1",4.92568724130088
"45","Gr1",4.08782608917838
"46","Gr1",4.99461834921919
"47","Gr1",4.24641729140414
"48","Gr1",4.7332487112281
"49","Gr1",2.42821006882142
"50","Gr1",3.90423428014365
"51","Gr1",4.48200634493192
"52","Gr1",3.32382384774746
"53","Gr1",4.22796755787757
"54","Gr1",4.41717741972807
"55","Gr1",4.71959277666813
"56","Gr1",4.32337412086439
"57","Gr1",2.84047146503342
"58","Gr1",4.89978363646314
"59","Gr1",2.25203130409945
"60","Gr1",4.20864694435536
"61","Gr2",5.72831089628399
"62","Gr2",4.17269220954479
"63","Gr2",3.58391824562832
"64","Gr2",4.58437552004056
"65","Gr2",4.11602316170759
"66","Gr2",5.80476940561048
"67","Gr2",3.9373183977642
"68","Gr2",4.73256528454232
"69","Gr2",4.81938523342224
"70","Gr2",4.10982877422073
"71","Gr2",4.47630548427069
"72","Gr2",5.5063636117095
"73","Gr2",3.49069479162188
