"","sub","cond","y"
"1","s1","1",9.48794933567207
"2","s1","2",9.59455172756076
"3","s2","1",9.55427487725944
"4","s2","2",12.2783648605674
"5","s3","1",9.84363345234617
"6","s3","2",10.460506328869
"7","s4","1",9.58412628767204
"8","s4","2",9.45516378197062
"9","s5","1",9.97507154422701
"10","s5","2",10.6971149823129
"11","s6","1",10.2099295203768
"12","s6","2",11.0743997426105
"13","s7","1",10.3940864776198
"14","s7","2",8.83461253888747
"15","s8","1",11.6321032253401
"16","s8","2",10.9136914356333
"17","s9","1",9.81666456787817
"18","s9","2",9.69060227733708
"19","s10","1",9.09627854923128
"20","s10","2",12.0704079467863
"21","s11","1",9.99218057756387
"22","s11","2",10.5604279449963
"23","s12","1",9.87867593746916
"24","s12","2",13.3892862135676
"25","s13","1",9.13332216664295
"26","s13","2",12.4278301067183
"27","s14","1",11.668107191259
"28","s14","2",12.7029090203425
"29","s15","1",13.8084233055014
"30","s15","2",12.659708095293
"31","s16","1",11.4457782193391
"32","s16","2",11.3506812565133
"33","s17","1",10.40430052644
"34","s17","2",11.4801722888065
"35","s18","1",11.096965080944
"36","s18","2",11.0847360552113
"37","s19","1",10.5962486410411
"38","s19","2",11.2560091736114
"39","s20","1",11.4639069067578
"40","s20","2",12.0299609845108
